binPid,n_hits,mlAnalyzed,lon,lat,conc_per_ml
D20241116T120340_IFCB127,4,1.585,-70.5667,41.325,2.5236593059936907
D20241116T204302_IFCB125,6,4.138,-69.957882,43.792114,1.4499758337361044
D20241116T224053_IFCB127,6,1.728,-70.5667,41.325,3.4722222222222223
D20241117T004037_IFCB125,4,4.239,-69.957882,43.792114,0.9436187780136825
D20241117T085929_IFCB125,2,4.253,-69.957882,43.792114,0.4702562896778744
D20241117T094659_IFCB125,7,4.246,-69.957882,43.792114,1.6486104569006121
D20241117T153115_IFCB125,5,4.248,-69.957882,43.792114,1.1770244821092277
D20241117T201451_IFCB193,5,3.616,-42.9178635,46.39789067,1.3827433628318584
D20241118T182652_IFCB193,12,2.815,-43.14868217,46.99738467,4.262877442273535
D20241119T085956_IFCB193,4,2.764,-44.4708355,46.99959417,1.4471780028943562
D20241119T235712_IFCB193,14,2.583,-46.21813983,46.99934233,5.420054200542005
D20241120T073613_IFCB193,32,3.61,-46.8319035,46.999717,8.86426592797784
D20241121T004201_IFCB127,3,2.006,-70.5667,41.325,1.4955134596211368
D20241121T140421_IFCB193,4,3.767,-50.17295117,46.9569135,1.0618529333687285
D20241121T163005_IFCB127,5,2.203,-70.5667,41.325,2.2696323195642307
D20241121T165308_IFCB127,6,2.176,-70.5667,41.325,2.7573529411764706
D20241121T171418_IFCB193,2,3.553,-50.66600767,46.99915767,0.5629045876723895
D20241122T034453_IFCB193,4,3.389,-52.03263133,46.9992435,1.1802891708468575
D20241122T071124_IFCB125,2,4.463,-69.957882,43.792114,0.4481290611696168
D20241122T112243_IFCB127,1,0.978,-70.5667,41.325,1.0224948875255624
D20241122T160542_IFCB125,2,4.37,-69.957882,43.792114,0.45766590389016015
D20241122T165312_IFCB125,2,4.552,-69.957882,43.792114,0.4393673110720563
D20241122T175440_IFCB127,3,0.669,-70.5667,41.325,4.484304932735426
D20241122T234032_IFCB127,1,0.86,-70.5667,41.325,1.1627906976744187
